case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
CASE-001,"PC cannot reach server at 192.168.2.10","PC0 (192.168.1.10) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","show ip interface brief: G0/1 192.168.2.1 administratively down/down; ping 192.168.2.10: 100% packet loss; Destination host unreachable","Router GigabitEthernet0/1 is administratively shut down","Layer 3","Interface availability","High"
CASE-002,"PC cannot reach server at 192.168.2.10","PC0 (192.168.1.10) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig: default gateway 192.168.1.254; ping 192.168.1.1: 0% loss; ping 192.168.2.10: 100% loss","PC has an incorrect default gateway; correct gateway is 192.168.1.1","Layer 3","Default gateway and routing","High"
CASE-003,"PC cannot reach server at 192.168.2.10","PC0 (192.168.1.10) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ping 192.168.2.10: 100% loss; show vlan brief: Fa0/1 in VLAN 10 USERS; show interfaces fa0/1 switchport: Access Mode VLAN 10; Fa0/2 router-facing port remains in VLAN 1","PC-facing switch port Fa0/1 was assigned to VLAN 10 while the router-facing path remained in VLAN 1","Layer 2","VLAN and access-port assignment","High"
CASE-004,"DHCP client receives an address but cannot reach the remote server","PC0 -> Switch0 -> Router0 -> Server0","ipconfig: IPv4 192.168.1.100, subnet mask 255.255.255.0, default gateway 192.168.1.254; ping 192.168.2.10: 100% packet loss","DHCP pool provides an incorrect default gateway; correct gateway is 192.168.1.1","Layer 3","DHCP gateway option and routing","High"
CASE-005,"PC cannot reach server at 192.168.2.10","PC0 (192.168.1.100) -> Switch0 Fa0/1 -> Switch0 Fa0/2 -> Router0 G0/0 -> Server0 (192.168.2.10)","ping 192.168.2.10: 100% packet loss; show interfaces fa0/2: FastEthernet0/2 is administratively down, line protocol is down (disabled)","Switch FastEthernet0/2 was administratively shut down","Layer 2","Switch interface availability","High"
CASE-006,"PC cannot reach gateway or server","PC0 -> Switch0 -> Router0 -> Server0","ipconfig: PC0 has 192.168.10.100/24 while gateway is 192.168.1.1; ping 192.168.1.1: 100% loss; ping 192.168.2.10: 100% loss","PC0 is configured in the wrong IP subnet","Layer 3","IPv4 addressing and subnet configuration","High"
CASE-007,"PC cannot reach the remote server","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig: IPv4 192.168.1.100, subnet mask 255.255.255.224, default gateway 192.168.1.1; ping 192.168.1.1: 4/4 replies; ping 192.168.2.10: 100% packet loss","PC0 has an incorrect subnet mask (255.255.255.224) causing incorrect subnet interpretation and preventing communication with the 192.168.2.0/24 remote network","Layer 3","IPv4 subnet mask configuration","High"
CASE-008,"PC cannot reach its default gateway","PC0 (192.168.1.100) -> Switch0 Fa0/1 -> Switch0 Fa0/2 -> Router0 G0/0","show vlan brief: Fa0/1 is assigned to VLAN 20 while Fa0/2 remains in VLAN 1; show interfaces fa0/1 switchport: Access Mode VLAN 20; ping 192.168.1.1: 100% packet loss","PC-facing switch port Fa0/1 is assigned to VLAN 20 instead of the required VLAN 1, isolating the PC from its gateway","Layer 2","VLAN and access-port assignment","High"
CASE-009,"PC cannot reach its default gateway","PC0 (192.168.1.100) -> Switch0 Fa0/1 -> Switch0 Fa0/2 -> Router0 G0/0","show interfaces fa0/2 switchport: Access Mode VLAN 10 (USERS); ping 192.168.1.1: 100% packet loss","Router-facing switch port Fa0/2 is assigned to VLAN 10 instead of VLAN 1, preventing the PC's traffic from reaching the router interface","Layer 2","VLAN and access-port assignment","High"
CASE-010,"PC cannot reach the remote server","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig: IPv4 192.168.1.100, subnet mask 255.255.255.0, default gateway 192.168.1.254; ping 192.168.1.1: 4/4 replies; ping 192.168.2.10: 100% packet loss","PC0 has an incorrect default gateway (192.168.1.254 instead of 192.168.1.1), preventing traffic from reaching the remote network","Layer 3","Default gateway configuration","High"
CASE-011,"DNS configuration is incorrect","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig /all: IPv4 192.168.1.100, gateway 192.168.1.1, DHCP server 192.168.2.10, DNS server 192.168.1.254; direct ping to 192.168.2.10 succeeds 4/4","PC0 is configured with an incorrect DNS server address (192.168.1.254 instead of 192.168.2.10), which can cause hostname resolution failures","Layer 7","DNS configuration","Medium"
CASE-012,"PC cannot obtain an IP address from DHCP","PC0 -> Switch0 -> Router0 -> Server0 (192.168.2.10)","DHCP service on Server0 is disabled; PC0 requests DHCP but does not receive the expected 192.168.1.100 address and gateway 192.168.1.1","DHCP service is unavailable on Server0, so PC0 cannot obtain a valid network configuration automatically","Layer 7","DHCP service availability","High"
CASE-013,"PC receives incorrect default gateway from DHCP","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig /all: IPv4 192.168.1.100, subnet mask 255.255.255.0, default gateway 192.168.1.254, DHCP server 192.168.2.10; DHCP successfully assigns the IP but provides the wrong gateway","DHCP pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1)","Layer 7","DHCP pool configuration","High"
CASE-014,"PC receives incorrect DNS server from DHCP","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","ipconfig /all: IPv4 192.168.1.100, subnet mask 255.255.255.0, default gateway 192.168.1.1, DHCP server 192.168.2.10, DNS server 192.168.1.254","DHCP pool is configured with an incorrect DNS server address (192.168.1.254 instead of the intended DNS server), causing incorrect DNS configuration to be assigned to clients","Layer 7","DHCP and DNS configuration","Medium"
CASE-015,"Server is unreachable due to incorrect IP address","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.3.10)","Server0 ipconfig: IPv4 192.168.3.10, subnet mask 255.255.255.0, default gateway 192.168.2.1; ping 192.168.2.10: 100% packet loss","Server0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of 192.168.2.0/24","Layer 3","Server IPv4 addressing","High"
CASE-016,"Server cannot communicate with the remote network because the server has an incorrect default gateway","PC0 -> Switch0 -> Router0 -> Server0 (192.168.2.10)","Server0 IP configuration shows an incorrect default gateway; local connectivity may work but communication through the router fails","Server0 has a wrong default gateway","Layer 3","Default Gateway","High"
CASE-017,"PC cannot reach server due to incorrect server subnet mask","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","Server0 ipconfig: IPv4 192.168.2.10, subnet mask 255.255.255.224, default gateway 192.168.2.1; Server0 can ping 192.168.2.1 successfully (4/4); PC0 ping 192.168.2.10 fails with 100% packet loss","Server0 has an incorrect subnet mask (255.255.255.224 instead of 255.255.255.0), causing incorrect subnet interpretation and preventing communication with PC0","Layer 3","Server subnet mask configuration","High"
CASE-018,"PC cannot reach server due to incorrect server default gateway","PC0 (192.168.1.100) -> Switch0 -> Router0 -> Server0 (192.168.2.10)","Server0 ipconfig: IPv4 192.168.2.10, subnet mask 255.255.255.0, default gateway 192.168.2.254; Server0 can ping 192.168.2.1 successfully (4/4); PC0 ping 192.168.2.10 fails with 100% packet loss","Server0 is configured with an incorrect default gateway (192.168.2.254 instead of 192.168.2.1), preventing return traffic from reaching the remote PC","Layer 3","Server default gateway configuration","High"
CASE-019,"PC cannot reach server because router interface G0/1 is shut down","PC0 (192.168.1.100) -> Switch0 -> Router0 G0/1 (192.168.2.1) -> Server0 (192.168.2.10)","show ip interface brief: GigabitEthernet0/1 is administratively down/down; ping 192.168.2.10 from PC0: 100% packet loss","Router GigabitEthernet0/1 is administratively shut down, disconnecting the 192.168.2.0/24 network from the router","Layer 3","Router interface availability","Critical"
CASE-020,"PC cannot reach gateway or server because switch port Fa0/1 is shut down","PC0 (192.168.1.100) -> Switch0 Fa0/1 -> Router0 G0/0 -> Server0 (192.168.2.10)","PC0 ping 192.168.1.1: 100% packet loss; PC0 ping 192.168.2.10: 100% packet loss; Switch0 Fa0/1 was administratively shut down","PC-facing switch port Fa0/1 is administratively disabled, disconnecting PC0 from the network","Layer 2","Switch interface availability","Critical"
CASE-021,"PC cannot reach gateway or server because router G0/0 has an incorrect IP address","PC0 (192.168.1.100) -> Switch0 -> Router0 G0/0 (192.168.10.1) -> G0/1 (192.168.2.1) -> Server0 (192.168.2.10)","Router G0/0 is configured as 192.168.10.1 instead of 192.168.1.1; ping 192.168.1.1: 100% packet loss; ping 192.168.2.10: 100% packet loss","Router G0/0 has an incorrect IPv4 address, so the PC's 192.168.1.0/24 network no longer has its expected gateway","Layer 3","Router interface IPv4 addressing","Critical"
CASE-022,"PC can reach its gateway but cannot reach the server because router G0/1 has an incorrect IP address","PC0 (192.168.1.100) -> Switch0 -> Router0 G0/0 (192.168.1.1) -> G0/1 (192.168.20.1) -> Server0 (192.168.2.10)","PC0 ping 192.168.1.1: 4/4 replies; PC0 ping 192.168.2.10: 0/4 replies with Destination host unreachable","Router G0/1 is configured with 192.168.20.1 instead of 192.168.2.1, disconnecting the server subnet from its expected router interface","Layer 3","Router interface IPv4 addressing","Critical"
