case_id,ai_diagnosis,ai_confidence,ai_evidence,ai_osi_layer,ai_concept,ai_next_command,rule_finding,expected_fault,human_decision,corrected_diagnosis,reviewer_note,review_timestamp
CASE-001,Router0 interface G0/1 (192.168.2.1) is administratively down,0.95,"[""show ip interface brief output indicates G0/1 is administratively down/down"", ""Ping to 192.168.2.10 resulted in 100% packet loss with Destination host unreachable""]",Layer 3,Interface availability,no shutdown,Interface/port status issue detected | NAT issue detected,Router GigabitEthernet0/1 is administratively shut down,Accepted,Router0 interface G0/1 (192.168.2.1) is administratively down,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-002,Incorrect default gateway IP configured on PC0,0.85,"[""PC0 default gateway is set to 192.168.1.254"", ""Ping to 192.168.1.1 succeeded with 0% loss"", ""Ping to server 192.168.2.10 failed with 100% loss""]",Layer 3,Default gateway,ping 192.168.1.254,Default gateway issue detected,PC has an incorrect default gateway; correct gateway is 192.168.1.1,Accepted,Incorrect default gateway IP configured on PC0,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-003,"Router-facing switch port Fa0/2 is in VLAN 1 while PC port Fa0/1 is in VLAN 10, causing VLAN isolation between PC and router",0.95,"[""Ping to 192.168.2.10 results in 100% packet loss"", ""Switch port Fa0/1 is in VLAN 10 USERS"", ""Switch port Fa0/2 facing the router remains in VLAN 1""]",Layer 2,VLAN,show interfaces fa0/2 switchport,VLAN configuration issue detected | Routing issue detected,PC-facing switch port Fa0/1 was assigned to VLAN 10 while the router-facing path remained in VLAN 1,Edited,PC-facing switch port Fa0/1 was assigned to VLAN 10 while the router-facing path remained in VLAN 1,Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-004,Unconfirmed routing issue or incorrect default gateway assignment,0.65,"[""PC assigned IPv4 192.168.1.100 with default gateway 192.168.1.254"", ""Ping to remote server 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Routing,ping 192.168.1.254,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,DHCP pool provides an incorrect default gateway; correct gateway is 192.168.1.1,Accepted,Unconfirmed routing issue or incorrect default gateway assignment,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-005,Switch0 interface FastEthernet0/2 is administratively down,0.98,"[""Ping to 192.168.2.10 failed with 100% packet loss"", ""show interfaces fa0/2 output shows FastEthernet0/2 is administratively down, line protocol is down (disabled)""]",Layer 2,Switch interface availability,no shutdown,Interface/port status issue detected,Switch FastEthernet0/2 was administratively shut down,Accepted,Switch0 interface FastEthernet0/2 is administratively down,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-006,PC0 IP address is configured on a different subnet than its assigned default gateway,0.98,"[""PC0 has IP address 192.168.10.100/24"", ""Configured default gateway is 192.168.1.1"", ""Ping to default gateway 192.168.1.1 resulted in 100% loss"", ""Ping to server 192.168.2.10 resulted in 100% loss""]",Layer 3,IPv4 addressing and subnet configuration,ipconfig /all,Default gateway issue detected,PC0 is configured in the wrong IP subnet,Accepted,PC0 IP address is configured on a different subnet than its assigned default gateway,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-007,Incorrect subnet mask on PC0 places the default gateway outside PC0's local subnet,0.92,"[""PC0 IP address is 192.168.1.100 with subnet mask 255.255.255.224 (/27)"", ""Default gateway is set to 192.168.1.1, which is outside PC0's subnet range (192.168.1.96 - 192.168.1.127)"", ""Ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,IPv4 subnet mask configuration,ipconfig /all,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,PC0 has an incorrect subnet mask (255.255.255.224) causing incorrect subnet interpretation and preventing communication with the 192.168.2.0/24 remote network,Accepted,Incorrect subnet mask on PC0 places the default gateway outside PC0's local subnet,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-008,VLAN mismatch between switch ports Fa0/1 (VLAN 20) and Fa0/2 (VLAN 1),0.95,"[""Fa0/1 is assigned to VLAN 20 while Fa0/2 remains in VLAN 1"", ""show interfaces fa0/1 switchport confirms Access Mode VLAN 20"", ""Ping to default gateway 192.168.1.1 fails with 100% packet loss""]",Layer 2,VLAN and access-port assignment,show running-config interface fa0/1,VLAN configuration issue detected,"PC-facing switch port Fa0/1 is assigned to VLAN 20 instead of the required VLAN 1, isolating the PC from its gateway",Edited,"PC-facing switch port Fa0/1 is assigned to VLAN 20 instead of the required VLAN 1, isolating the PC from its gateway",Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-009,Incorrect VLAN assignment on Switch0 interface Fa0/2 preventing traffic from reaching the default gateway,0.85,"[""Ping to default gateway 192.168.1.1 resulted in 100% packet loss"", ""Switch0 Fa0/2 is configured for Access Mode in VLAN 10 (USERS)""]",Layer 2,VLAN and access-port assignment,show vlan brief,VLAN configuration issue detected,"Router-facing switch port Fa0/2 is assigned to VLAN 10 instead of VLAN 1, preventing the PC's traffic from reaching the router interface",Accepted,Incorrect VLAN assignment on Switch0 interface Fa0/2 preventing traffic from reaching the default gateway,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-010,Default gateway on PC0 is misconfigured as 192.168.1.254 instead of 192.168.1.1,0.88,"[""PC0 default gateway is configured as 192.168.1.254"", ""Ping to 192.168.1.1 was successful (4/4 replies)"", ""Ping to remote server 192.168.2.10 failed with 100% packet loss""]",Layer 3,Default gateway configuration,show ip interface brief,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,"PC0 has an incorrect default gateway (192.168.1.254 instead of 192.168.1.1), preventing traffic from reaching the remote network",Accepted,Default gateway on PC0 is misconfigured as 192.168.1.254 instead of 192.168.1.1,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
