case_id,root_cause,confidence,evidence,osi_layer,concept,next_command,fix_steps,human_review_required,status
CASE-001,Router0 interface G0/1 (192.168.2.1) is administratively down,0.95,"[""show ip interface brief output indicates G0/1 is administratively down/down"", ""Ping to 192.168.2.10 resulted in 100% packet loss with Destination host unreachable""]",Layer 3,Interface availability,no shutdown,"[""Log into Router0 and enter global configuration mode"", ""Navigate to interface GigabitEthernet0/1"", ""Execute the 'no shutdown' command to bring up the interface"", ""Verify interface G0/1 status changes to up/up"", ""Test ping connectivity from PC0 to Server0 (192.168.2.10)""]",True,SUCCESS
CASE-002,Incorrect default gateway IP configured on PC0,0.85,"[""PC0 default gateway is set to 192.168.1.254"", ""Ping to 192.168.1.1 succeeded with 0% loss"", ""Ping to server 192.168.2.10 failed with 100% loss""]",Layer 3,Default gateway,ping 192.168.1.254,"[""Verify the router IP address on the local subnet"", ""Configure PC0's default gateway to 192.168.1.1"", ""Test connectivity to server 192.168.2.10""]",True,SUCCESS
CASE-003,"Router-facing switch port Fa0/2 is in VLAN 1 while PC port Fa0/1 is in VLAN 10, causing VLAN isolation between PC and router",0.95,"[""Ping to 192.168.2.10 results in 100% packet loss"", ""Switch port Fa0/1 is in VLAN 10 USERS"", ""Switch port Fa0/2 facing the router remains in VLAN 1""]",Layer 2,VLAN,show interfaces fa0/2 switchport,"[""Reconfigure interface Fa0/2 on Switch0 to access VLAN 10 (or configure trunking if inter-VLAN routing is used)"", ""Verify port membership using 'show vlan brief'"", ""Test ping connectivity from PC0 (192.168.1.10) to Server0 (192.168.2.10)""]",True,SUCCESS
CASE-004,Unconfirmed routing issue or incorrect default gateway assignment,0.65,"[""PC assigned IPv4 192.168.1.100 with default gateway 192.168.1.254"", ""Ping to remote server 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Routing,ping 192.168.1.254,"[""Test reachability to default gateway 192.168.1.254 from PC0"", ""Check routing table on Router0 using 'show ip route'"", ""Verify DHCP default-router option on the DHCP server matches Router0 interface""]",True,SUCCESS
CASE-005,Switch0 interface FastEthernet0/2 is administratively down,0.98,"[""Ping to 192.168.2.10 failed with 100% packet loss"", ""show interfaces fa0/2 output shows FastEthernet0/2 is administratively down, line protocol is down (disabled)""]",Layer 2,Switch interface availability,no shutdown,"[""Access Switch0 via CLI"", ""Enter global configuration mode using 'configure terminal'"", ""Select interface FastEthernet0/2 using 'interface fa0/2'"", ""Execute 'no shutdown' to enable the interface"", ""Verify the interface status changes to up/up"", ""Test reachability by pinging 192.168.2.10 from PC0""]",True,SUCCESS
CASE-006,PC0 IP address is configured on a different subnet than its assigned default gateway,0.98,"[""PC0 has IP address 192.168.10.100/24"", ""Configured default gateway is 192.168.1.1"", ""Ping to default gateway 192.168.1.1 resulted in 100% loss"", ""Ping to server 192.168.2.10 resulted in 100% loss""]",Layer 3,IPv4 addressing and subnet configuration,ipconfig /all,"[""Reconfigure PC0 IP address to a valid address in the 192.168.1.0/24 subnet (e.g., 192.168.1.10/24)"", ""Verify ping connectivity from PC0 to default gateway 192.168.1.1"", ""Verify ping connectivity from PC0 to server 192.168.2.10""]",True,SUCCESS
CASE-007,Incorrect subnet mask on PC0 places the default gateway outside PC0's local subnet,0.92,"[""PC0 IP address is 192.168.1.100 with subnet mask 255.255.255.224 (/27)"", ""Default gateway is set to 192.168.1.1, which is outside PC0's subnet range (192.168.1.96 - 192.168.1.127)"", ""Ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,IPv4 subnet mask configuration,ipconfig /all,"[""Correct the subnet mask on PC0 to match the network design (e.g., 255.255.255.0)"", ""Verify IP address and default gateway parameters on PC0"", ""Test connectivity to Server0 (192.168.2.10) using ping""]",True,SUCCESS
CASE-008,VLAN mismatch between switch ports Fa0/1 (VLAN 20) and Fa0/2 (VLAN 1),0.95,"[""Fa0/1 is assigned to VLAN 20 while Fa0/2 remains in VLAN 1"", ""show interfaces fa0/1 switchport confirms Access Mode VLAN 20"", ""Ping to default gateway 192.168.1.1 fails with 100% packet loss""]",Layer 2,VLAN and access-port assignment,show running-config interface fa0/1,"[""Enter interface configuration mode for Switch0 Fa0/1"", ""Reassign Fa0/1 to VLAN 1 using 'switchport access vlan 1' (or configure appropriate VLAN/trunk settings)"", ""Verify ping from PC0 (192.168.1.100) to default gateway 192.168.1.1""]",True,SUCCESS
CASE-009,Incorrect VLAN assignment on Switch0 interface Fa0/2 preventing traffic from reaching the default gateway,0.85,"[""Ping to default gateway 192.168.1.1 resulted in 100% packet loss"", ""Switch0 Fa0/2 is configured for Access Mode in VLAN 10 (USERS)""]",Layer 2,VLAN and access-port assignment,show vlan brief,"[""Verify the VLAN configured on Switch0 Fa0/1 and compare it with Fa0/2"", ""Reconfigure Switch0 Fa0/2 (or Fa0/1) to the correct VLAN corresponding to the 192.168.1.0/24 subnet"", ""Test ping from PC0 (192.168.1.100) to the default gateway (192.168.1.1)""]",True,SUCCESS
CASE-010,Default gateway on PC0 is misconfigured as 192.168.1.254 instead of 192.168.1.1,0.88,"[""PC0 default gateway is configured as 192.168.1.254"", ""Ping to 192.168.1.1 was successful (4/4 replies)"", ""Ping to remote server 192.168.2.10 failed with 100% packet loss""]",Layer 3,Default gateway configuration,show ip interface brief,"[""Update default gateway address on PC0 to 192.168.1.1"", ""Verify local gateway reachability using ping 192.168.1.1"", ""Test connectivity to remote server using ping 192.168.2.10""]",True,SUCCESS
