case_id,expected_fault,concept_tag,detected_concepts,rule_findings,issues_found,comparison,status
CASE-001,Router GigabitEthernet0/1 is administratively shut down,Interface availability,"interface, nat",Interface/port status issue detected | NAT issue detected,2,MATCH,ISSUE_FOUND
CASE-002,PC has an incorrect default gateway; correct gateway is 192.168.1.1,Default gateway and routing,gateway,Default gateway issue detected,1,MATCH,ISSUE_FOUND
CASE-003,PC-facing switch port Fa0/1 was assigned to VLAN 10 while the router-facing path remained in VLAN 1,VLAN and access-port assignment,"vlan, routing",VLAN configuration issue detected | Routing issue detected,2,MATCH,ISSUE_FOUND
CASE-004,DHCP pool provides an incorrect default gateway; correct gateway is 192.168.1.1,DHCP gateway option and routing,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-005,Switch FastEthernet0/2 was administratively shut down,Switch interface availability,interface,Interface/port status issue detected,1,MATCH,ISSUE_FOUND
CASE-006,PC0 is configured in the wrong IP subnet,IPv4 addressing and subnet configuration,gateway,Default gateway issue detected,1,MISMATCH,ISSUE_FOUND
CASE-007,PC0 has an incorrect subnet mask (255.255.255.224) causing incorrect subnet interpretation and preventing communication with the 192.168.2.0/24 remote network,IPv4 subnet mask configuration,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-008,"PC-facing switch port Fa0/1 is assigned to VLAN 20 instead of the required VLAN 1, isolating the PC from its gateway",VLAN and access-port assignment,vlan,VLAN configuration issue detected,1,MATCH,ISSUE_FOUND
CASE-009,"Router-facing switch port Fa0/2 is assigned to VLAN 10 instead of VLAN 1, preventing the PC's traffic from reaching the router interface",VLAN and access-port assignment,vlan,VLAN configuration issue detected,1,MATCH,ISSUE_FOUND
CASE-010,"PC0 has an incorrect default gateway (192.168.1.254 instead of 192.168.1.1), preventing traffic from reaching the remote network",Default gateway configuration,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-011,"PC0 is configured with an incorrect DNS server address (192.168.1.254 instead of 192.168.2.10), which can cause hostname resolution failures",DNS configuration,"gateway, ip, dhcp, dns",Default gateway issue detected | IP addressing issue detected | DHCP issue detected | DNS issue detected,4,MATCH,ISSUE_FOUND
CASE-012,"DHCP service is unavailable on Server0, so PC0 cannot obtain a valid network configuration automatically",DHCP service availability,"gateway, dhcp",Default gateway issue detected | DHCP issue detected,2,MATCH,ISSUE_FOUND
CASE-013,DHCP pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1),DHCP pool configuration,"gateway, ip, subnet, dhcp",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected,4,MATCH,ISSUE_FOUND
CASE-014,"DHCP pool is configured with an incorrect DNS server address (192.168.1.254 instead of the intended DNS server), causing incorrect DNS configuration to be assigned to clients",DHCP and DNS configuration,"gateway, ip, subnet, dhcp, dns",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected | DNS issue detected,5,MATCH,ISSUE_FOUND
